Judul Produk,Harga Normal,Harga Diskon,Rating,Terjual,Nama Toko,Lokasi Toko
Kerupuk seblak bantet Pedas extra 1kg Gurih,4000000,3500000,4.9,70,RIKI STORE 97,Kab. Bogor
SEBLAK INSTAN SAJODO SNACK,2300000,1900000,4.9,100,Sajodo Snack & Food,Tasikmalaya
SEBLAK INSTAN FCK BANDUNG TERLEZAT SEBLAK INSTANT JAMUR FCK SEBLAK ACI,1300000,Tidak ada harga diskon,4.6,500,Uai Food,Surabaya
MAKARONI bantet 70gr krupuk SEBLAK bantet krupuk UDANG KERUPUK BANTET,285700,Tidak ada harga diskon,4.5,100,MelaBoci,Surabaya
SEBLAK INSTAN TERMURAH,350000,Tidak ada harga diskon,4.9,100,Cemilan-Ce,Kab. Sidoarjo
"seblak krupuk 5000 ,pedas dan gurih",500000,Tidak ada harga diskon,4.8,1000,anugrah seblak,Kab. Bandung
Kerupuk Merah Seblak 250gr BANDUNG,479800,Tidak ada harga diskon,5.0,1000,yohangunawan94,Bandung
Cemilan 250GR Krupuk seblak kering Rafael pedas daun jeruk MEGA SNACK,800000,752000,5.0,19,Mega_Snack_095,Cimahi
seblak kerupuk jengkol pedas jeruk isi 500gr,1499900,Tidak ada harga diskon,4.6,16,seblak mitoha,Kab. Bandung
BASRENG 1 KG SEBLAK DAUN JERUK PURUT SUPER PEDAS ORIGINAL SUPER RENYAH,5177100,Tidak ada harga diskon,5.0,70,Grosir Besar Kalimantan,Banjarbaru
KerUpuk Seblak Kerupuk Beton Pedas Daun Jeruk 250gram,1500000,Tidak ada harga diskon,4.9,70,Mega_Snack_095,Cimahi
seblak mercon pedas galak,350000,Tidak ada harga diskon,4.5,3000,BUGAR STORE.,Kab. Garut
GRATIS ONGKIR SEBLAK INSTAN/SEBLAK BANDUNG/SEBLAK GARUT/MURAH MANTAP,399900,Tidak ada harga diskon,4.6,100,MarkCi .id,Kab. Garut
seblak mix campuran pedas daun jeruk viral tiktok tok,4300000,3999900,4.9,100,basreng sultan bandung viral,Kab. Bandung
seblak krupuk kemplang bawang hot pedas gurih 1kg,1499900,Tidak ada harga diskon,4.4,28,seblak mitoha,Kab. Bandung
